County,Year,Cases,Rate
FRESNO,2009,489,52.9
FRESNO,2010,724,77.8
FRESNO,2011,735,78.0
FRESNO,2012,483,50.9
FRESNO,2013,314,32.9
FRESNO,2014,163,16.9
FRESNO,2015,280,28.8
FRESNO,2016,614,62.8
FRESNO,2017,834,84.6
FRESNO,2018,644,64.8
FRESNO,2019,625,62.4
FRESNO,2020,449,44.6
FRESNO,2021,410,40.6
FRESNO,2022,448,44.3
GLENN,2001,0,
GLENN,2002,2,7.5
GLENN,2003,0,
GLENN,2004,1,3.7
GLENN,2005,0,
GLENN,2006,1,3.6
GLENN,2007,0,
GLENN,2008,0,
GLENN,2009,0,
GLENN,2010,0,
GLENN,2011,0,
GLENN,2012,0,
GLENN,2013,0,
GLENN,2014,0,
GLENN,2015,0,
GLENN,2016,0,
GLENN,2017,2,7.1
GLENN,2018,0,
GLENN,2019,2,7.0
GLENN,2020,1,3.5
GLENN,2021,3,10.4
GLENN,2022,2,7.0
HUMBOLDT,2001,0,
HUMBOLDT,2002,0,
HUMBOLDT,2003,1,0.8
HUMBOLDT,2004,0,
HUMBOLDT,2005,0,
HUMBOLDT,2006,0,
HUMBOLDT,2007,2,1.5
HUMBOLDT,2008,0,
HUMBOLDT,2009,0,
HUMBOLDT,2010,0,
HUMBOLDT,2011,1,0.7
HUMBOLDT,2012,1,0.7
HUMBOLDT,2013,0,
HUMBOLDT,2014,0,
HUMBOLDT,2015,1,0.7
HUMBOLDT,2016,0,
HUMBOLDT,2017,2,1.5
HUMBOLDT,2018,0,
HUMBOLDT,2019,2,1.5
HUMBOLDT,2020,2,1.5
HUMBOLDT,2021,2,1.5
HUMBOLDT,2022,3,2.2
IMPERIAL,2001,0,
IMPERIAL,2002,0,
IMPERIAL,2003,1,0.7
IMPERIAL,2004,4,2.6
IMPERIAL,2005,1,0.6
IMPERIAL,2006,4,2.5
IMPERIAL,2007,11,6.6
IMPERIAL,2008,7,4.1
IMPERIAL,2009,9,5.2
IMPERIAL,2010,4,2.3
IMPERIAL,2011,5,2.8
IMPERIAL,2012,12,6.8
IMPERIAL,2013,5,2.8
IMPERIAL,2014,2,1.1
IMPERIAL,2015,2,1.1
IMPERIAL,2016,11,6.1
IMPERIAL,2017,15,8.3
IMPERIAL,2018,19,10.5
IMPERIAL,2019,17,9.4
IMPERIAL,2020,5,2.8
IMPERIAL,2021,1,0.6
IMPERIAL,2022,20,11.2
INYO,2001,0,
INYO,2002,0,
INYO,2003,0,
INYO,2004,0,
INYO,2005,0,
INYO,2006,1,5.4
INYO,2007,0,
INYO,2008,0,
INYO,2009,0,
INYO,2010,0,
INYO,2011,0,
INYO,2012,0,
INYO,2013,0,
INYO,2014,1,5.3
INYO,2015,0,
INYO,2016,0,
INYO,2017,0,
INYO,2018,0,
INYO,2019,0,
INYO,2020,1,5.3
INYO,2021,3,15.9
INYO,2022,1,5.3
KERN,2001,948,139.5
KERN,2002,994,142.7
KERN,2003,1233,171.8
KERN,2004,1466,198.1
KERN,2005,1505,197.5
KERN,2006,1018,129.5
KERN,2007,1393,172.9
KERN,2008,835,101.8
KERN,2009,597,71.8
KERN,2010,1913,227.8
KERN,2011,2565,301.7
KERN,2012,1854,216.0
KERN,2013,1659,191.3
KERN,2014,931,106.7
KERN,2015,1083,123.3
KERN,2016,2258,256.4
KERN,2017,2793,314.5
KERN,2018,2951,329.5
KERN,2019,3385,374.8
KERN,2020,2631,290.6
KERN,2021,2819,310.4
KERN,2022,2407,264.9
KINGS,2001,37,27.9
KINGS,2002,46,34.2
KINGS,2003,51,36.8
KINGS,2004,73,51.2
KINGS,2005,128,88.5
KINGS,2006,233,158.0
KINGS,2007,138,91.8
KINGS,2008,185,121.8
KINGS,2009,204,134.4
KINGS,2010,386,252.3
KINGS,2011,375,247.5
KINGS,2012,242,161.6
KINGS,2013,108,72.2
KINGS,2014,78,52.5
KINGS,2015,104,70.0
KINGS,2016,235,159.2
KINGS,2017,273,183.3
KINGS,2018,173,114.5
KINGS,2019,220,145.0
KINGS,2020,157,103.2
KINGS,2021,168,110.9
KINGS,2022,168,111.0
LAKE,2001,0,
LAKE,2002,0,
LAKE,2003,0,
LAKE,2004,1,1.6
LAKE,2005,0,
LAKE,2006,0,
LAKE,2007,0,
LAKE,2008,0,
LAKE,2009,1,1.6
LAKE,2010,1,1.5
LAKE,2011,0,
LAKE,2012,0,
LAKE,2013,0,
LAKE,2014,0,
LAKE,2015,0,
LAKE,2016,2,3.0
LAKE,2017,2,2.9
LAKE,2018,1,1.5
LAKE,2019,2,2.9
LAKE,2020,2,3.0
LAKE,2021,0,
LAKE,2022,0,
LASSEN,2001,2,5.9
LASSEN,2002,0,
LASSEN,2003,2,5.9
LASSEN,2004,4,11.6
LASSEN,2005,0,
LASSEN,2006,1,2.9
LASSEN,2007,1,2.8
LASSEN,2008,0,
LASSEN,2009,0,
LASSEN,2010,0,
LASSEN,2011,0,
LASSEN,2012,0,
LASSEN,2013,0,
LASSEN,2014,0,
LASSEN,2015,9,28.4
LASSEN,2016,6,18.6
LASSEN,2017,0,
LASSEN,2018,1,3.0
LASSEN,2019,0,
LASSEN,2020,1,3.2
LASSEN,2021,0,
LASSEN,2022,1,3.4
LONG BEACH,2001,3,0.6
LONG BEACH,2002,5,1.1
LONG BEACH,2003,4,0.9
LONG BEACH,2004,1,0.2
LONG BEACH,2005,2,0.4
LONG BEACH,2006,4,0.9
LONG BEACH,2007,15,3.2
LONG BEACH,2008,16,3.5
LONG BEACH,2009,8,1.7
LONG BEACH,2010,12,2.6
LONG BEACH,2011,13,2.8
LONG BEACH,2012,21,4.5
LONG BEACH,2013,8,1.7
LONG BEACH,2014,19,4.0
LONG BEACH,2015,36,7.6
LONG BEACH,2016,15,3.2
LONG BEACH,2017,19,4.0
LONG BEACH,2018,12,2.5
LONG BEACH,2019,57,12.1
LONG BEACH,2020,55,11.7
LONG BEACH,2021,53,11.5
LONG BEACH,2022,66,14.3
LOS ANGELES,2001,76,0.8
LOS ANGELES,2002,88,1.0
LOS ANGELES,2003,98,1.1
LOS ANGELES,2004,148,1.6
LOS ANGELES,2005,224,2.4
LOS ANGELES,2006,192,2.1
LOS ANGELES,2007,156,1.7
LOS ANGELES,2008,224,2.4
LOS ANGELES,2009,184,2.0
LOS ANGELES,2010,230,2.5
LOS ANGELES,2011,302,3.3
LOS ANGELES,2012,312,3.3
LOS ANGELES,2013,338,3.6
LOS ANGELES,2014,383,4.0
LOS ANGELES,2015,521,5.5
LOS ANGELES,2016,714,7.5
LOS ANGELES,2017,906,9.5
LOS ANGELES,2018,996,10.4
LOS ANGELES,2019,1093,11.5
LOS ANGELES,2020,1023,10.7
LOS ANGELES,2021,1378,14.7
LOS ANGELES,2022,1461,15.8
LOS ANGELES COUNTY TOTAL,2001,79,0.8
LOS ANGELES COUNTY TOTAL,2002,94,1.0
LOS ANGELES COUNTY TOTAL,2003,103,1.1
LOS ANGELES COUNTY TOTAL,2004,150,1.5
LOS ANGELES COUNTY TOTAL,2005,226,2.3
LOS ANGELES COUNTY TOTAL,2006,197,2.0
LOS ANGELES COUNTY TOTAL,2007,172,1.8
LOS ANGELES COUNTY TOTAL,2008,242,2.5
LOS ANGELES COUNTY TOTAL,2009,194,2.0
LOS ANGELES COUNTY TOTAL,2010,245,2.5
LOS ANGELES COUNTY TOTAL,2011,316,3.2
LOS ANGELES COUNTY TOTAL,2012,335,3.4
LOS ANGELES COUNTY TOTAL,2013,347,3.5
LOS ANGELES COUNTY TOTAL,2014,403,4.0
LOS ANGELES COUNTY TOTAL,2015,558,5.5
LOS ANGELES COUNTY TOTAL,2016,731,7.2
LOS ANGELES COUNTY TOTAL,2017,934,9.2
LOS ANGELES COUNTY TOTAL,2018,1013,10.0
LOS ANGELES COUNTY TOTAL,2019,1154,11.5
LOS ANGELES COUNTY TOTAL,2020,1081,10.8
LOS ANGELES COUNTY TOTAL,2021,1450,14.6
LOS ANGELES COUNTY TOTAL,2022,1536,15.7
MADERA,2001,7,5.5
MADERA,2002,18,14.0
MADERA,2003,11,8.3
MADERA,2004,27,19.8
MADERA,2005,26,18.6
MADERA,2006,30,20.9
MADERA,2007,30,20.4
MADERA,2008,21,14.1
MADERA,2009,26,17.3
MADERA,2010,33,21.9
MADERA,2011,44,29.1
MADERA,2012,24,16.0
MADERA,2013,46,30.4
MADERA,2014,35,22.9
MADERA,2015,54,35.3
MADERA,2016,49,32.0
MADERA,2017,64,41.5
MADERA,2018,58,37.3
MADERA,2019,64,41.2
MADERA,2020,22,14.1
MADERA,2021,38,24.2
MADERA,2022,51,32.4
MARIN,2001,0,
MARIN,2002,1,0.4
MARIN,2003,1,0.4
MARIN,2004,2,0.8
MARIN,2005,2,0.8
MARIN,2006,0,
MARIN,2007,0,
MARIN,2008,1,0.4
MARIN,2009,2,0.8
MARIN,2010,4,1.6
MARIN,2011,3,1.2
MARIN,2012,1,0.4
MARIN,2013,6,2.3
MARIN,2014,2,0.8
MARIN,2015,1,0.4
MARIN,2016,2,0.8
MARIN,2017,4,1.5
MARIN,2018,5,1.9
MARIN,2019,5,1.9
MARIN,2020,6,2.3
MARIN,2021,4,1.5
MARIN,2022,2,0.8
MARIPOSA,2001,0,
MARIPOSA,2002,0,
MARIPOSA,2003,0,
MARIPOSA,2004,0,
MARIPOSA,2005,0,
MARIPOSA,2006,0,
MARIPOSA,2007,0,
MARIPOSA,2008,0,
MARIPOSA,2009,0,
MARIPOSA,2010,0,
MARIPOSA,2011,0,
MARIPOSA,2012,0,
MARIPOSA,2013,0,
MARIPOSA,2014,0,
MARIPOSA,2015,2,11.3
MARIPOSA,2016,3,17.0
MARIPOSA,2017,3,17.1
MARIPOSA,2018,1,5.8
MARIPOSA,2019,2,11.6
MARIPOSA,2020,1,5.8
MARIPOSA,2021,2,11.8
MARIPOSA,2022,1,5.9
MENDOCINO,2001,0,
MENDOCINO,2002,0,
MENDOCINO,2003,1,1.1
MENDOCINO,2004,1,1.1
MENDOCINO,2005,0,
MENDOCINO,2006,0,
MENDOCINO,2007,1,1.1
MENDOCINO,2008,0,
MENDOCINO,2009,0,
MENDOCINO,2010,0,
MENDOCINO,2011,1,1.1
MENDOCINO,2012,0,
MENDOCINO,2013,1,1.1
MENDOCINO,2014,0,
MENDOCINO,2015,1,1.1
MENDOCINO,2016,0,
MENDOCINO,2017,1,1.1
MENDOCINO,2018,0,
MENDOCINO,2019,3,3.3
MENDOCINO,2020,2,2.2
MENDOCINO,2021,1,1.1
MENDOCINO,2022,3,3.4
MERCED,2001,6,2.8
MERCED,2002,15,6.7
MERCED,2003,17,7.4
MERCED,2004,11,4.7
MERCED,2005,17,7.1
MERCED,2006,11,4.5
MERCED,2007,11,4.4
MERCED,2008,14,5.6
MERCED,2009,18,7.1
MERCED,2010,57,22.3
MERCED,2011,53,20.4
MERCED,2012,62,23.6
MERCED,2013,54,20.5
MERCED,2014,54,20.3
MERCED,2015,91,34.1
MERCED,2016,81,30.1
MERCED,2017,107,39.3
MERCED,2018,137,49.8
MERCED,2019,106,38.1
MERCED,2020,79,28.1
MERCED,2021,81,28.7
MERCED,2022,69,24.2
MODOC,2001,0,
MODOC,2002,0,
MODOC,2003,0,
MODOC,2004,0,
MODOC,2005,0,
MODOC,2006,0,
MODOC,2007,0,
MODOC,2008,0,
MODOC,2009,0,
MODOC,2010,0,
MODOC,2011,0,
MODOC,2012,0,
MODOC,2013,0,
MODOC,2014,0,
MODOC,2015,0,
MODOC,2016,0,
MODOC,2017,0,
MODOC,2018,0,
MODOC,2019,0,
MODOC,2020,0,
MODOC,2021,0,
MODOC,2022,0,
MONO,2001,0,
MONO,2002,0,
MONO,2003,1,7.4
MONO,2004,0,
MONO,2005,0,
MONO,2006,0,
MONO,2007,1,7.0
MONO,2008,0,
MONO,2009,0,
MONO,2010,0,
MONO,2011,0,
MONO,2012,0,
MONO,2013,0,
MONO,2014,0,
MONO,2015,0,
MONO,2016,0,
MONO,2017,0,
MONO,2018,1,7.6
MONO,2019,0,
MONO,2020,0,
MONO,2021,2,15.1
MONO,2022,0,
MONTEREY,2001,12,3.0
MONTEREY,2002,8,2.0
MONTEREY,2003,6,1.5
MONTEREY,2004,18,4.4
MONTEREY,2005,29,7.1
MONTEREY,2006,49,12.1
MONTEREY,2007,33,8.1
MONTEREY,2008,29,7.1
MONTEREY,2009,39,9.4
MONTEREY,2010,56,13.5
MONTEREY,2011,67,15.9
MONTEREY,2012,76,17.9
MONTEREY,2013,69,16.2
MONTEREY,2014,24,5.6
MONTEREY,2015,38,8.8
MONTEREY,2016,79,18.1
MONTEREY,2017,191,43.6
MONTEREY,2018,238,54.1
MONTEREY,2019,188,42.6
MONTEREY,2020,116,26.4
MONTEREY,2021,120,27.4
MONTEREY,2022,113,26.0
NAPA,2001,0,
NAPA,2002,0,
NAPA,2003,1,0.8
NAPA,2004,0,
NAPA,2005,0,
NAPA,2006,3,2.3
NAPA,2007,1,0.8
NAPA,2008,0,
NAPA,2009,1,0.7
NAPA,2010,1,0.7
NAPA,2011,1,0.7
NAPA,2012,3,2.2
NAPA,2013,0,
NAPA,2014,0,
NAPA,2015,0,
NAPA,2016,2,1.4
NAPA,2017,1,0.7
NAPA,2018,1,0.7
NAPA,2019,4,2.9
NAPA,2020,1,0.7
NAPA,2021,5,3.6
NAPA,2022,1,0.7
NEVADA,2001,0,
NEVADA,2002,0,
NEVADA,2003,0,
NEVADA,2004,0,
NEVADA,2005,0,
NEVADA,2006,1,1.0
NEVADA,2007,0,
NEVADA,2008,1,1.0
NEVADA,2009,2,2.0
NEVADA,2010,1,1.0
NEVADA,2011,1,1.0
NEVADA,2012,2,2.0
NEVADA,2013,0,
NEVADA,2014,0,
NEVADA,2015,0,
NEVADA,2016,0,
NEVADA,2017,0,
NEVADA,2018,1,1.0
NEVADA,2019,0,
NEVADA,2020,4,3.9
NEVADA,2021,1,1.0
NEVADA,2022,1,1.0
ORANGE,2001,27,0.9
ORANGE,2002,24,0.8
ORANGE,2003,24,0.8
ORANGE,2004,33,1.1
ORANGE,2005,39,1.3
ORANGE,2006,43,1.5
ORANGE,2007,36,1.2
ORANGE,2008,43,1.4
ORANGE,2009,71,2.4
ORANGE,2010,39,1.3
ORANGE,2011,83,2.7
ORANGE,2012,115,3.7
ORANGE,2013,72,2.3
ORANGE,2014,77,2.5
ORANGE,2015,172,5.5
ORANGE,2016,109,3.4
ORANGE,2017,230,7.2
ORANGE,2018,195,6.1
ORANGE,2019,287,9.0
ORANGE,2020,240,7.5
ORANGE,2021,284,9.0
ORANGE,2022,297,9.4
PASADENA,2001,0,
PASADENA,2002,1,0.7
PASADENA,2003,1,0.7
PASADENA,2004,1,0.7
PASADENA,2005,0,
PASADENA,2006,1,0.7
PASADENA,2007,1,0.7
PASADENA,2008,2,1.5
PASADENA,2009,2,1.5
PASADENA,2010,3,2.2
PASADENA,2011,1,0.7
PASADENA,2012,2,1.4
PASADENA,2013,1,0.7
PASADENA,2014,1,0.7
PASADENA,2015,1,0.7
PASADENA,2016,2,1.4
PASADENA,2017,9,6.3
PASADENA,2018,5,3.5
PASADENA,2019,4,2.8
PASADENA,2020,3,2.1
PASADENA,2021,19,13.7
PASADENA,2022,9,6.5
PLACER,2001,0,
PLACER,2002,1,0.4
PLACER,2003,1,0.3
PLACER,2004,2,0.7
PLACER,2005,1,0.3
PLACER,2006,4,1.2
PLACER,2007,1,0.3
PLACER,2008,1,0.3
PLACER,2009,2,0.6
PLACER,2010,1,0.3
PLACER,2011,2,0.6
PLACER,2012,7,1.9
PLACER,2013,3,0.8
PLACER,2014,0,
PLACER,2015,5,1.3
PLACER,2016,3,0.8
PLACER,2017,2,0.5
PLACER,2018,3,0.8
PLACER,2019,12,3.0
PLACER,2020,10,2.5
PLACER,2021,9,2.2
PLACER,2022,9,2.2
PLUMAS,2001,0,
PLUMAS,2002,1,4.8
PLUMAS,2003,0,
PLUMAS,2004,0,
PLUMAS,2005,0,
PLUMAS,2006,0,
PLUMAS,2007,0,
PLUMAS,2008,0,
PLUMAS,2009,1,5.0
PLUMAS,2010,0,
PLUMAS,2011,1,5.0
PLUMAS,2012,0,
PLUMAS,2013,2,10.1
PLUMAS,2014,1,5.1
PLUMAS,2015,0,
PLUMAS,2016,0,
PLUMAS,2017,0,
PLUMAS,2018,2,10.2
PLUMAS,2019,0,
PLUMAS,2020,0,
PLUMAS,2021,0,
PLUMAS,2022,0,
RIVERSIDE,2001,30,1.8
RIVERSIDE,2002,28,1.7
RIVERSIDE,2003,26,1.5
RIVERSIDE,2004,49,2.6
RIVERSIDE,2005,50,2.6
RIVERSIDE,2006,55,2.7
RIVERSIDE,2007,47,2.3
RIVERSIDE,2008,46,2.2
RIVERSIDE,2009,76,3.5
RIVERSIDE,2010,83,3.8
RIVERSIDE,2011,72,3.2
RIVERSIDE,2012,56,2.5
RIVERSIDE,2013,34,1.5
RIVERSIDE,2014,38,1.7
RIVERSIDE,2015,57,2.5
RIVERSIDE,2016,64,2.7
RIVERSIDE,2017,135,5.7
RIVERSIDE,2018,142,6.0
RIVERSIDE,2019,290,12.1
RIVERSIDE,2020,313,12.9
RIVERSIDE,2021,455,18.7
RIVERSIDE,2022,349,14.3
SACRAMENTO,2001,5,0.4
SACRAMENTO,2002,8,0.6
SACRAMENTO,2003,9,0.7
SACRAMENTO,2004,13,1.0
SACRAMENTO,2005,12,0.9
SACRAMENTO,2006,12,0.9
SACRAMENTO,2007,15,1.1
SACRAMENTO,2008,6,0.4
SACRAMENTO,2009,3,0.2
SACRAMENTO,2010,15,1.1
SACRAMENTO,2011,41,2.8
SACRAMENTO,2012,5,0.3
SACRAMENTO,2013,9,0.6
SACRAMENTO,2014,18,1.2
SACRAMENTO,2015,23,1.5
SACRAMENTO,2016,27,1.8
SACRAMENTO,2017,41,2.7
SACRAMENTO,2018,43,2.8
SACRAMENTO,2019,103,6.6
SACRAMENTO,2020,57,3.6
SACRAMENTO,2021,81,5.1
SACRAMENTO,2022,54,3.4
SAN BENITO,2001,1,1.8
SAN BENITO,2002,0,
SAN BENITO,2003,2,3.6
SAN BENITO,2004,2,3.6
SAN BENITO,2005,1,1.8
SAN BENITO,2006,4,7.3
SAN BENITO,2007,0,
SAN BENITO,2008,1,1.8
SAN BENITO,2009,0,
SAN BENITO,2010,1,1.8
SAN BENITO,2011,2,3.6
SAN BENITO,2012,0,
SAN BENITO,2013,1,1.7
SAN BENITO,2014,1,1.7
SAN BENITO,2015,0,
SAN BENITO,2016,3,5.0
SAN BENITO,2017,4,6.6
SAN BENITO,2018,3,4.9
SAN BENITO,2019,5,7.9
SAN BENITO,2020,2,3.1
SAN BENITO,2021,10,15.3
SAN BENITO,2022,2,3.0
SAN BERNARDINO,2001,13,0.7
