,County,Year,Cases
313,HUMBOLDT,2006,0
314,HUMBOLDT,2007,2
315,HUMBOLDT,2008,0
316,HUMBOLDT,2009,0
317,HUMBOLDT,2010,0
318,HUMBOLDT,2011,1
319,HUMBOLDT,2012,1
320,HUMBOLDT,2013,0
321,HUMBOLDT,2014,0
322,HUMBOLDT,2015,1
323,HUMBOLDT,2016,0
324,HUMBOLDT,2017,2
325,HUMBOLDT,2018,0
326,HUMBOLDT,2019,2
327,HUMBOLDT,2020,2
328,HUMBOLDT,2021,2
329,HUMBOLDT,2022,3
330,IMPERIAL,2001,0
331,IMPERIAL,2002,0
332,IMPERIAL,2003,1
333,IMPERIAL,2004,4
334,IMPERIAL,2005,1
335,IMPERIAL,2006,4
336,IMPERIAL,2007,11
337,IMPERIAL,2008,7
338,IMPERIAL,2009,9
339,IMPERIAL,2010,4
340,IMPERIAL,2011,5
341,IMPERIAL,2012,12
342,IMPERIAL,2013,5
343,IMPERIAL,2014,2
344,IMPERIAL,2015,2
345,IMPERIAL,2016,11
346,IMPERIAL,2017,15
347,IMPERIAL,2018,19
348,IMPERIAL,2019,17
349,IMPERIAL,2020,5
350,IMPERIAL,2021,1
351,IMPERIAL,2022,20
374,KERN,2001,948
375,KERN,2002,994
376,KERN,2003,1233
377,KERN,2004,1466
378,KERN,2005,1505
379,KERN,2006,1018
380,KERN,2007,1393
381,KERN,2008,835
382,KERN,2009,597
383,KERN,2010,1913
384,KERN,2011,2565
385,KERN,2012,1854
386,KERN,2013,1659
387,KERN,2014,931
388,KERN,2015,1083
389,KERN,2016,2258
390,KERN,2017,2793
391,KERN,2018,2951
392,KERN,2019,3385
393,KERN,2020,2631
394,KERN,2021,2819
395,KERN,2022,2407
396,KINGS,2001,37
397,KINGS,2002,46
398,KINGS,2003,51
399,KINGS,2004,73
400,KINGS,2005,128
401,KINGS,2006,233
402,KINGS,2007,138
403,KINGS,2008,185
404,KINGS,2009,204
405,KINGS,2010,386
406,KINGS,2011,375
407,KINGS,2012,242
408,KINGS,2013,108
409,KINGS,2014,78
410,KINGS,2015,104
411,KINGS,2016,235
412,KINGS,2017,273
413,KINGS,2018,173
414,KINGS,2019,220
415,KINGS,2020,157
416,KINGS,2021,168
417,KINGS,2022,168
440,LASSEN,2001,2
441,LASSEN,2002,0
442,LASSEN,2003,2
443,LASSEN,2004,4
444,LASSEN,2005,0
445,LASSEN,2006,1
446,LASSEN,2007,1
447,LASSEN,2008,0
448,LASSEN,2009,0
449,LASSEN,2010,0
450,LASSEN,2011,0
451,LASSEN,2012,0
452,LASSEN,2013,0
453,LASSEN,2014,0
454,LASSEN,2015,9
455,LASSEN,2016,6
456,LASSEN,2017,0
457,LASSEN,2018,1
458,LASSEN,2019,0
459,LASSEN,2020,1
460,LASSEN,2021,0
461,LASSEN,2022,1
462,LONG BEACH,2001,3
463,LONG BEACH,2002,5
464,LONG BEACH,2003,4
465,LONG BEACH,2004,1
466,LONG BEACH,2005,2
467,LONG BEACH,2006,4
468,LONG BEACH,2007,15
469,LONG BEACH,2008,16
470,LONG BEACH,2009,8
471,LONG BEACH,2010,12
472,LONG BEACH,2011,13
473,LONG BEACH,2012,21
474,LONG BEACH,2013,8
475,LONG BEACH,2014,19
476,LONG BEACH,2015,36
477,LONG BEACH,2016,15
478,LONG BEACH,2017,19
479,LONG BEACH,2018,12
480,LONG BEACH,2019,57
481,LONG BEACH,2020,55
482,LONG BEACH,2021,53
483,LONG BEACH,2022,66
484,LOS ANGELES,2001,76
485,LOS ANGELES,2002,88
486,LOS ANGELES,2003,98
487,LOS ANGELES,2004,148
488,LOS ANGELES,2005,224
489,LOS ANGELES,2006,192
490,LOS ANGELES,2007,156
491,LOS ANGELES,2008,224
492,LOS ANGELES,2009,184
493,LOS ANGELES,2010,230
494,LOS ANGELES,2011,302
495,LOS ANGELES,2012,312
496,LOS ANGELES,2013,338
497,LOS ANGELES,2014,383
498,LOS ANGELES,2015,521
499,LOS ANGELES,2016,714
500,LOS ANGELES,2017,906
501,LOS ANGELES,2018,996
502,LOS ANGELES,2019,1093
503,LOS ANGELES,2020,1023
504,LOS ANGELES,2021,1378
505,LOS ANGELES,2022,1461
528,MADERA,2001,7
529,MADERA,2002,18
530,MADERA,2003,11
531,MADERA,2004,27
532,MADERA,2005,26
533,MADERA,2006,30
534,MADERA,2007,30
535,MADERA,2008,21
536,MADERA,2009,26
537,MADERA,2010,33
538,MADERA,2011,44
539,MADERA,2012,24
540,MADERA,2013,46
541,MADERA,2014,35
542,MADERA,2015,54
543,MADERA,2016,49
544,MADERA,2017,64
545,MADERA,2018,58
546,MADERA,2019,64
547,MADERA,2020,22
548,MADERA,2021,38
549,MADERA,2022,51
550,MARIN,2001,0
551,MARIN,2002,1
552,MARIN,2003,1
553,MARIN,2004,2
554,MARIN,2005,2
555,MARIN,2006,0
556,MARIN,2007,0
557,MARIN,2008,1
558,MARIN,2009,2
559,MARIN,2010,4
560,MARIN,2011,3
561,MARIN,2012,1
562,MARIN,2013,6
563,MARIN,2014,2
564,MARIN,2015,1
565,MARIN,2016,2
566,MARIN,2017,4
567,MARIN,2018,5
568,MARIN,2019,5
569,MARIN,2020,6
570,MARIN,2021,4
571,MARIN,2022,2
594,MENDOCINO,2001,0
595,MENDOCINO,2002,0
596,MENDOCINO,2003,1
597,MENDOCINO,2004,1
598,MENDOCINO,2005,0
599,MENDOCINO,2006,0
600,MENDOCINO,2007,1
601,MENDOCINO,2008,0
602,MENDOCINO,2009,0
603,MENDOCINO,2010,0
604,MENDOCINO,2011,1
605,MENDOCINO,2012,0
606,MENDOCINO,2013,1
607,MENDOCINO,2014,0
608,MENDOCINO,2015,1
609,MENDOCINO,2016,0
610,MENDOCINO,2017,1
611,MENDOCINO,2018,0
612,MENDOCINO,2019,3
613,MENDOCINO,2020,2
614,MENDOCINO,2021,1
615,MENDOCINO,2022,3
616,MERCED,2001,6
617,MERCED,2002,15
618,MERCED,2003,17
619,MERCED,2004,11
620,MERCED,2005,17
621,MERCED,2006,11
622,MERCED,2007,11
623,MERCED,2008,14
624,MERCED,2009,18
625,MERCED,2010,57
626,MERCED,2011,53
627,MERCED,2012,62
628,MERCED,2013,54
629,MERCED,2014,54
630,MERCED,2015,91
631,MERCED,2016,81
632,MERCED,2017,107
633,MERCED,2018,137
634,MERCED,2019,106
635,MERCED,2020,79
636,MERCED,2021,81
637,MERCED,2022,69
682,MONTEREY,2001,12
683,MONTEREY,2002,8
684,MONTEREY,2003,6
685,MONTEREY,2004,18
686,MONTEREY,2005,29
687,MONTEREY,2006,49
688,MONTEREY,2007,33
689,MONTEREY,2008,29
690,MONTEREY,2009,39
691,MONTEREY,2010,56
692,MONTEREY,2011,67
693,MONTEREY,2012,76
694,MONTEREY,2013,69
695,MONTEREY,2014,24
696,MONTEREY,2015,38
697,MONTEREY,2016,79
698,MONTEREY,2017,191
699,MONTEREY,2018,238
700,MONTEREY,2019,188
701,MONTEREY,2020,116
702,MONTEREY,2021,120
703,MONTEREY,2022,113
704,NAPA,2001,0
705,NAPA,2002,0
706,NAPA,2003,1
707,NAPA,2004,0
708,NAPA,2005,0
709,NAPA,2006,3
710,NAPA,2007,1
711,NAPA,2008,0
712,NAPA,2009,1
713,NAPA,2010,1
714,NAPA,2011,1
715,NAPA,2012,3
716,NAPA,2013,0
717,NAPA,2014,0
718,NAPA,2015,0
719,NAPA,2016,2
720,NAPA,2017,1
721,NAPA,2018,1
722,NAPA,2019,4
723,NAPA,2020,1
724,NAPA,2021,5
725,NAPA,2022,1
726,NEVADA,2001,0
727,NEVADA,2002,0
728,NEVADA,2003,0
729,NEVADA,2004,0
730,NEVADA,2005,0
731,NEVADA,2006,1
732,NEVADA,2007,0
733,NEVADA,2008,1
734,NEVADA,2009,2
735,NEVADA,2010,1
736,NEVADA,2011,1
737,NEVADA,2012,2
738,NEVADA,2013,0
739,NEVADA,2014,0
740,NEVADA,2015,0
741,NEVADA,2016,0
742,NEVADA,2017,0
743,NEVADA,2018,1
744,NEVADA,2019,0
745,NEVADA,2020,4
746,NEVADA,2021,1
747,NEVADA,2022,1
748,ORANGE,2001,27
749,ORANGE,2002,24
750,ORANGE,2003,24
751,ORANGE,2004,33
752,ORANGE,2005,39
753,ORANGE,2006,43
754,ORANGE,2007,36
755,ORANGE,2008,43
756,ORANGE,2009,71
757,ORANGE,2010,39
758,ORANGE,2011,83
759,ORANGE,2012,115
760,ORANGE,2013,72
761,ORANGE,2014,77
762,ORANGE,2015,172
763,ORANGE,2016,109
764,ORANGE,2017,230
765,ORANGE,2018,195
766,ORANGE,2019,287
767,ORANGE,2020,240
768,ORANGE,2021,284
769,ORANGE,2022,297
770,PASADENA,2001,0
771,PASADENA,2002,1
772,PASADENA,2003,1
773,PASADENA,2004,1
774,PASADENA,2005,0
775,PASADENA,2006,1
776,PASADENA,2007,1
777,PASADENA,2008,2
778,PASADENA,2009,2
779,PASADENA,2010,3
780,PASADENA,2011,1
781,PASADENA,2012,2
782,PASADENA,2013,1
783,PASADENA,2014,1
784,PASADENA,2015,1
785,PASADENA,2016,2
786,PASADENA,2017,9
787,PASADENA,2018,5
788,PASADENA,2019,4
789,PASADENA,2020,3
790,PASADENA,2021,19
791,PASADENA,2022,9
792,PLACER,2001,0
793,PLACER,2002,1
794,PLACER,2003,1
795,PLACER,2004,2
796,PLACER,2005,1
797,PLACER,2006,4
798,PLACER,2007,1
799,PLACER,2008,1
800,PLACER,2009,2
801,PLACER,2010,1
802,PLACER,2011,2
803,PLACER,2012,7
804,PLACER,2013,3
805,PLACER,2014,0
806,PLACER,2015,5
807,PLACER,2016,3
808,PLACER,2017,2
809,PLACER,2018,3
810,PLACER,2019,12
811,PLACER,2020,10
812,PLACER,2021,9
813,PLACER,2022,9
836,RIVERSIDE,2001,30
837,RIVERSIDE,2002,28
838,RIVERSIDE,2003,26
839,RIVERSIDE,2004,49
840,RIVERSIDE,2005,50
841,RIVERSIDE,2006,55
842,RIVERSIDE,2007,47
843,RIVERSIDE,2008,46
844,RIVERSIDE,2009,76
845,RIVERSIDE,2010,83
846,RIVERSIDE,2011,72
847,RIVERSIDE,2012,56
848,RIVERSIDE,2013,34
849,RIVERSIDE,2014,38
850,RIVERSIDE,2015,57
851,RIVERSIDE,2016,64
852,RIVERSIDE,2017,135
853,RIVERSIDE,2018,142
854,RIVERSIDE,2019,290
855,RIVERSIDE,2020,313
856,RIVERSIDE,2021,455
857,RIVERSIDE,2022,349
858,SACRAMENTO,2001,5
859,SACRAMENTO,2002,8
860,SACRAMENTO,2003,9
861,SACRAMENTO,2004,13
862,SACRAMENTO,2005,12
863,SACRAMENTO,2006,12
864,SACRAMENTO,2007,15
865,SACRAMENTO,2008,6
866,SACRAMENTO,2009,3
867,SACRAMENTO,2010,15
868,SACRAMENTO,2011,41
869,SACRAMENTO,2012,5
870,SACRAMENTO,2013,9
871,SACRAMENTO,2014,18
872,SACRAMENTO,2015,23
873,SACRAMENTO,2016,27
874,SACRAMENTO,2017,41
875,SACRAMENTO,2018,43
876,SACRAMENTO,2019,103
877,SACRAMENTO,2020,57
878,SACRAMENTO,2021,81
879,SACRAMENTO,2022,54
880,SAN BENITO,2001,1
881,SAN BENITO,2002,0
882,SAN BENITO,2003,2
883,SAN BENITO,2004,2
884,SAN BENITO,2005,1
885,SAN BENITO,2006,4
886,SAN BENITO,2007,0
887,SAN BENITO,2008,1
888,SAN BENITO,2009,0
889,SAN BENITO,2010,1
890,SAN BENITO,2011,2
891,SAN BENITO,2012,0
892,SAN BENITO,2013,1
893,SAN BENITO,2014,1
894,SAN BENITO,2015,0
895,SAN BENITO,2016,3
896,SAN BENITO,2017,4
897,SAN BENITO,2018,3
898,SAN BENITO,2019,5
899,SAN BENITO,2020,2
900,SAN BENITO,2021,10
901,SAN BENITO,2022,2
902,SAN BERNARDINO,2001,13
903,SAN BERNARDINO,2002,17
904,SAN BERNARDINO,2003,15
905,SAN BERNARDINO,2004,27
906,SAN BERNARDINO,2005,35
907,SAN BERNARDINO,2006,33
908,SAN BERNARDINO,2007,24
909,SAN BERNARDINO,2008,23
910,SAN BERNARDINO,2009,38
911,SAN BERNARDINO,2010,71
912,SAN BERNARDINO,2011,50
913,SAN BERNARDINO,2012,59
914,SAN BERNARDINO,2013,49
915,SAN BERNARDINO,2014,33
916,SAN BERNARDINO,2015,29
917,SAN BERNARDINO,2016,38
918,SAN BERNARDINO,2017,88
919,SAN BERNARDINO,2018,97
920,SAN BERNARDINO,2019,229
921,SAN BERNARDINO,2020,233
922,SAN BERNARDINO,2021,250
923,SAN BERNARDINO,2022,229
924,SAN DIEGO,2001,57
925,SAN DIEGO,2002,59
926,SAN DIEGO,2003,55
927,SAN DIEGO,2004,62
928,SAN DIEGO,2005,73
929,SAN DIEGO,2006,53
930,SAN DIEGO,2007,82
931,SAN DIEGO,2008,136
932,SAN DIEGO,2009,135
933,SAN DIEGO,2010,137
934,SAN DIEGO,2011,148
935,SAN DIEGO,2012,139
936,SAN DIEGO,2013,93
937,SAN DIEGO,2014,88
938,SAN DIEGO,2015,113
939,SAN DIEGO,2016,132
940,SAN DIEGO,2017,274
941,SAN DIEGO,2018,276
942,SAN DIEGO,2019,417
943,SAN DIEGO,2020,461
944,SAN DIEGO,2021,448
945,SAN DIEGO,2022,415
946,SAN FRANCISCO,2001,3
947,SAN FRANCISCO,2002,0
948,SAN FRANCISCO,2003,3
949,SAN FRANCISCO,2004,6
950,SAN FRANCISCO,2005,3
951,SAN FRANCISCO,2006,7
952,SAN FRANCISCO,2007,7
953,SAN FRANCISCO,2008,0
954,SAN FRANCISCO,2009,0
955,SAN FRANCISCO,2010,4
956,SAN FRANCISCO,2011,9
957,SAN FRANCISCO,2012,3
958,SAN FRANCISCO,2013,18
959,SAN FRANCISCO,2014,4
960,SAN FRANCISCO,2015,13
961,SAN FRANCISCO,2016,7
962,SAN FRANCISCO,2017,14
963,SAN FRANCISCO,2018,12
964,SAN FRANCISCO,2019,25
965,SAN FRANCISCO,2020,18
966,SAN FRANCISCO,2021,29
967,SAN FRANCISCO,2022,18
968,SAN JOAQUIN,2001,11
969,SAN JOAQUIN,2002,20
970,SAN JOAQUIN,2003,17
971,SAN JOAQUIN,2004,28
972,SAN JOAQUIN,2005,26
973,SAN JOAQUIN,2006,39
974,SAN JOAQUIN,2007,47
975,SAN JOAQUIN,2008,34
976,SAN JOAQUIN,2009,28
977,SAN JOAQUIN,2010,55
978,SAN JOAQUIN,2011,111
979,SAN JOAQUIN,2012,73
980,SAN JOAQUIN,2013,51
981,SAN JOAQUIN,2014,61
982,SAN JOAQUIN,2015,97
983,SAN JOAQUIN,2016,191
984,SAN JOAQUIN,2017,204
985,SAN JOAQUIN,2018,242
986,SAN JOAQUIN,2019,281
987,SAN JOAQUIN,2020,134
988,SAN JOAQUIN,2021,117
989,SAN JOAQUIN,2022,104
990,SAN LUIS OBISPO,2001,45
991,SAN LUIS OBISPO,2002,46
992,SAN LUIS OBISPO,2003,68
993,SAN LUIS OBISPO,2004,94
994,SAN LUIS OBISPO,2005,90
995,SAN LUIS OBISPO,2006,174
996,SAN LUIS OBISPO,2007,83
997,SAN LUIS OBISPO,2008,81
998,SAN LUIS OBISPO,2009,78
999,SAN LUIS OBISPO,2010,164
1000,SAN LUIS OBISPO,2011,172
1001,SAN LUIS OBISPO,2012,108
1002,SAN LUIS OBISPO,2013,53
1003,SAN LUIS OBISPO,2014,27
1004,SAN LUIS OBISPO,2015,65
1005,SAN LUIS OBISPO,2016,259
1006,SAN LUIS OBISPO,2017,439
1007,SAN LUIS OBISPO,2018,347
1008,SAN LUIS OBISPO,2019,268
1009,SAN LUIS OBISPO,2020,178
1010,SAN LUIS OBISPO,2021,173
1011,SAN LUIS OBISPO,2022,144
1012,SAN MATEO,2001,3
1013,SAN MATEO,2002,10
1014,SAN MATEO,2003,0
1015,SAN MATEO,2004,5
1016,SAN MATEO,2005,4
1017,SAN MATEO,2006,7
1018,SAN MATEO,2007,8
1019,SAN MATEO,2008,6
1020,SAN MATEO,2009,6
1021,SAN MATEO,2010,6
1022,SAN MATEO,2011,9
1023,SAN MATEO,2012,16
1024,SAN MATEO,2013,10
1025,SAN MATEO,2014,3
1026,SAN MATEO,2015,5
1027,SAN MATEO,2016,4
1028,SAN MATEO,2017,18
1029,SAN MATEO,2018,16
1030,SAN MATEO,2019,27
1031,SAN MATEO,2020,17
1032,SAN MATEO,2021,22
1033,SAN MATEO,2022,22
1034,SANTA BARBARA,2001,10
1035,SANTA BARBARA,2002,11
1036,SANTA BARBARA,2003,8
1037,SANTA BARBARA,2004,13
1038,SANTA BARBARA,2005,25
1039,SANTA BARBARA,2006,26
1040,SANTA BARBARA,2007,16
1041,SANTA BARBARA,2008,11
1042,SANTA BARBARA,2009,18
1043,SANTA BARBARA,2010,36
1044,SANTA BARBARA,2011,19
1045,SANTA BARBARA,2012,24
1046,SANTA BARBARA,2013,23
1047,SANTA BARBARA,2014,15
1048,SANTA BARBARA,2015,25
1049,SANTA BARBARA,2016,62
1050,SANTA BARBARA,2017,115
1051,SANTA BARBARA,2018,107
1052,SANTA BARBARA,2019,75
1053,SANTA BARBARA,2020,62
1054,SANTA BARBARA,2021,66
1055,SANTA BARBARA,2022,41
1056,SANTA CLARA,2001,12
1057,SANTA CLARA,2002,7
1058,SANTA CLARA,2003,6
1059,SANTA CLARA,2004,9
1060,SANTA CLARA,2005,6
1061,SANTA CLARA,2006,30
1062,SANTA CLARA,2007,51
1063,SANTA CLARA,2008,22
1064,SANTA CLARA,2009,16
1065,SANTA CLARA,2010,29
1066,SANTA CLARA,2011,29
1067,SANTA CLARA,2012,26
1068,SANTA CLARA,2013,17
1069,SANTA CLARA,2014,12
1070,SANTA CLARA,2015,17
1071,SANTA CLARA,2016,39
1072,SANTA CLARA,2017,40
1073,SANTA CLARA,2018,77
1074,SANTA CLARA,2019,78
1075,SANTA CLARA,2020,44
1076,SANTA CLARA,2021,65
1077,SANTA CLARA,2022,84
1078,SANTA CRUZ,2001,1
1079,SANTA CRUZ,2002,1
1080,SANTA CRUZ,2003,0
1081,SANTA CRUZ,2004,0
1082,SANTA CRUZ,2005,1
1083,SANTA CRUZ,2006,2
1084,SANTA CRUZ,2007,4
1085,SANTA CRUZ,2008,2
1086,SANTA CRUZ,2009,3
1087,SANTA CRUZ,2010,5
1088,SANTA CRUZ,2011,3
1089,SANTA CRUZ,2012,10
1090,SANTA CRUZ,2013,5
1091,SANTA CRUZ,2014,3
1092,SANTA CRUZ,2015,1
1093,SANTA CRUZ,2016,9
1094,SANTA CRUZ,2017,9
1095,SANTA CRUZ,2018,14
1096,SANTA CRUZ,2019,21
1097,SANTA CRUZ,2020,3
1098,SANTA CRUZ,2021,17
1099,SANTA CRUZ,2022,16
1144,SISKIYOU,2001,0
1145,SISKIYOU,2002,0
1146,SISKIYOU,2003,0
1147,SISKIYOU,2004,0
1148,SISKIYOU,2005,1
1149,SISKIYOU,2006,0
1150,SISKIYOU,2007,1
1151,SISKIYOU,2008,0
1152,SISKIYOU,2009,1
1153,SISKIYOU,2010,0
1154,SISKIYOU,2011,0
1155,SISKIYOU,2012,0
1156,SISKIYOU,2013,1
1157,SISKIYOU,2014,0
1158,SISKIYOU,2015,0
1159,SISKIYOU,2016,2
1160,SISKIYOU,2017,2
1161,SISKIYOU,2018,0
1162,SISKIYOU,2019,1
1163,SISKIYOU,2020,2
1164,SISKIYOU,2021,0
1165,SISKIYOU,2022,1
1166,SOLANO,2001,3
1167,SOLANO,2002,0
1168,SOLANO,2003,0
1169,SOLANO,2004,1
1170,SOLANO,2005,2
1171,SOLANO,2006,11
1172,SOLANO,2007,6
1173,SOLANO,2008,11
1174,SOLANO,2009,2
1175,SOLANO,2010,10
1176,SOLANO,2011,15
1177,SOLANO,2012,8
1178,SOLANO,2013,6
1179,SOLANO,2014,5
1180,SOLANO,2015,19
1181,SOLANO,2016,16
1182,SOLANO,2017,18
1183,SOLANO,2018,17
1184,SOLANO,2019,34
1185,SOLANO,2020,22
1186,SOLANO,2021,34
1187,SOLANO,2022,27
1188,SONOMA,2001,0
1189,SONOMA,2002,0
1190,SONOMA,2003,3
1191,SONOMA,2004,0
1192,SONOMA,2005,1
1193,SONOMA,2006,0
1194,SONOMA,2007,2
1195,SONOMA,2008,0
1196,SONOMA,2009,0
1197,SONOMA,2010,1
1198,SONOMA,2011,4
1199,SONOMA,2012,4
1200,SONOMA,2013,1
1201,SONOMA,2014,5
1202,SONOMA,2015,1
1203,SONOMA,2016,2
1204,SONOMA,2017,3
1205,SONOMA,2018,3
1206,SONOMA,2019,12
1207,SONOMA,2020,7
1208,SONOMA,2021,20
1209,SONOMA,2022,10
1210,STANISLAUS,2001,4
1211,STANISLAUS,2002,16
1212,STANISLAUS,2003,16
1213,STANISLAUS,2004,17
1214,STANISLAUS,2005,15
1215,STANISLAUS,2006,19
1216,STANISLAUS,2007,19
1217,STANISLAUS,2008,15
1218,STANISLAUS,2009,18
1219,STANISLAUS,2010,52
1220,STANISLAUS,2011,58
1221,STANISLAUS,2012,62
1222,STANISLAUS,2013,39
1223,STANISLAUS,2014,36
1224,STANISLAUS,2015,48
1225,STANISLAUS,2016,81
1226,STANISLAUS,2017,122
1227,STANISLAUS,2018,76
1228,STANISLAUS,2019,81
1229,STANISLAUS,2020,67
1230,STANISLAUS,2021,86
1231,STANISLAUS,2022,63
1232,SUTTER,2001,1
1233,SUTTER,2002,1
1234,SUTTER,2003,0
1235,SUTTER,2004,0
1236,SUTTER,2005,2
1237,SUTTER,2006,1
1238,SUTTER,2007,0
1239,SUTTER,2008,0
1240,SUTTER,2009,0
1241,SUTTER,2010,1
1242,SUTTER,2011,1
1243,SUTTER,2012,1
1244,SUTTER,2013,1
1245,SUTTER,2014,0
1246,SUTTER,2015,0
1247,SUTTER,2016,1
1248,SUTTER,2017,3
1249,SUTTER,2018,0
1250,SUTTER,2019,4
1251,SUTTER,2020,1
1252,SUTTER,2021,1
1253,SUTTER,2022,0
1254,TEHAMA,2001,2
